Film,Year,Rating,Number_Ratings,Length_Minutes,
M,1931,8.5,71033,110,
City Lights,1931,8.6,65709,87,
Frankenstein,1931,8,37746,70,
Dracula,1931,7.6,24857,75,
The Public Enemy,1931,7.8,10147,83,
Monkey Business,1931,7.6,7495,77,
Dr. Jekyll and Mr. Hyde,1931,7.7,7179,98,
Little Caesar,1931,7.4,6488,79,
Rich and Strange,1931,6,2554,92,
À nous la liberté,1931,7.7,2504,104,
Cimarron,1931,6,2471,123,
Tabu: A Story of the South Seas,1931,7.7,2453,82,
Drácula,1931,7.1,2336,104,
The Smiling Lieutenant,1931,7.8,2122,93,
Le million,1931,7.6,2012,81,
Mata Hari,1931,6.7,1946,89,
The Maltese Falcon,1931,7.3,1802,80,
Platinum Blonde,1931,6.9,1782,89,
The Skin Game,1931,5.9,1692,77,
La chienne,1931,7.7,1676,91,
The Champ,1931,7.3,1615,86,
Night Nurse,1931,6.9,1536,72,
Waterloo Bridge,1931,7.6,1433,81,
A Free Soul,1931,6.7,1183,93,
Marius,1931,7.8,1141,130,
Freaks,1932,7.9,25177,64,
Scarface,1932,7.8,15572,93,
The Mummy,1932,7.2,11597,73,
Grand Hotel,1932,7.6,9897,112,
Vampyr,1932,7.7,8187,83,
Horse Feathers,1932,7.7,7671,68,
Trouble in Paradise,1932,8.1,7499,83,
I Am a Fugitive from a Chain Gang,1932,8,7430,92,
The Most Dangerous Game,1932,7.3,5510,63,
White Zombie,1932,6.5,5047,69,
Tarzan the Ape Man,1932,7.2,4536,100,
The Old Dark House,1932,7.3,4032,72,
Island of Lost Souls,1932,7.6,3895,70,
Shanghai Express,1932,7.5,3587,80,
Le sang d'un poète,1932,7.4,3108,55,
Boudu sauvé des eaux,1932,7.6,2988,85,
Number Seventeen,1932,5.9,2897,63,
A Farewell to Arms,1932,6.6,2629,80,
Otona no miru ehon - Umarete wa mita keredo,1932,7.9,2291,100,
Blonde Venus,1932,7.3,2284,93,
Love Me Tonight,1932,7.8,2198,104,
Red Dust,1932,7.4,2069,83,
One Way Passage,1932,8.1,1996,67,
Murders in the Rue Morgue,1932,6.3,1886,61,
King Kong,1933,8,55338,100,
Duck Soup,1933,8,40205,68,
The Invisible Man,1933,7.7,15431,71,
Das Testament des Dr. Mabuse,1933,7.9,6794,122,
42nd Street,1933,7.7,6409,89,
Dinner at Eight,1933,7.7,5051,111,
Queen Christina,1933,7.8,4483,99,
Sons of the Desert,1933,7.8,4449,68,
Gold Diggers of 1933,1933,8,4263,97,
Zéro de conduite: Jeunes diables au collège,1933,7.5,3943,41,
Little Women,1933,7.3,3893,115,
Baby Face,1933,7.5,3069,71,
She Done Him Wrong,1933,6.5,3044,66,
Design for Living,1933,7.6,2686,91,
Mystery of the Wax Museum,1933,6.9,2612,77,
Footlight Parade,1933,7.7,2412,104,
Lady for a Day,1933,7.5,2125,96,
The Private Life of Henry VIII.,1933,7.2,2077,97,
Flying Down to Rio,1933,6.7,2027,89,
Cavalcade,1933,6.2,1994,110,
The Son of Kong,1933,5.8,1993,70,
The Bitter Tea of General Yen,1933,7.1,1955,88,
I'm No Angel,1933,7,1665,87,
It Happened One Night,1934,8.3,44534,105,
The Thin Man,1934,8.1,16784,91,
The Man Who Knew Too Much,1934,6.9,9976,75,
L'Atalante,1934,7.9,7941,89,
The Black Cat,1934,7.2,4678,65,
The Gay Divorcee,1934,7.6,4134,107,
Twentieth Century,1934,7.8,3807,91,
Babes in Toyland,1934,7.4,3600,77,
The Scarlet Empress,1934,7.8,3377,104,
Of Human Bondage,1934,7.3,3326,83,
Tarzan and His Mate,1934,7.6,3235,104,
It's a Gift,1934,7.4,3194,68,
The Scarlet Pimpernel,1934,7.5,2436,97,
Imitation of Life,1934,7.5,2039,111,
Manhattan Melodrama,1934,7.1,1960,93,
Cleopatra,1934,6.9,1904,100,
The Lost Patrol,1934,7,1720,73,
The Merry Widow,1934,7.5,1552,99,
Ukikusa,1934,7.8,1528,118,
Treasure Island,1934,7.2,1427,103,
Maniac,1934,3.3,1307,51,
The Count of Monte Cristo,1934,7.7,1250,113,
Charlie Chan in London,1934,7.3,1203,79,
Man of Aran,1934,7.6,1088,76,
The 39 Steps,1935,7.9,32463,86,
Bride of Frankenstein,1935,7.9,24976,75,
A Night at the Opera,1935,8.1,20614,96,
Mutiny on the Bounty,1935,7.8,12584,132,
Top Hat,1935,7.8,10461,101,
Triumph des Willens,1935,7.5,8479,114,
Captain Blood,1935,7.8,7973,119,
The Informer,1935,7.6,3374,91,
A Tale of Two Cities,1935,7.8,3286,128,
Anna Karenina,1935,7.1,3108,95,
Werewolf of London,1935,6.4,2669,75,
Mark of the Vampire,1935,6.3,2479,60,
The Raven,1935,7,2414,61,
Mad Love,1935,7.4,2341,68,
