emp_title,emp_length,state,homeownership,debt_to_income,annual_income,open_credit_lines,total_credit_limit,total_credit_utilized,total_debit_limit,loan_amount,interest_rate,installment,grade,balance,paid_interest
administrative assistant,0,FL,RENT,22.51,32000,4,22984,18420,5000,2500,7.96,78.3,A,2326.16,31.65
sole proprietor,10,MN,OWN,2.99,45000,5,203255,1469,9000,12500,7.34,387.91,A,11559.92,218.55
pension ananlyst,10,MD,OWN,21.07,90000,19,154848,62112,79300,13000,7.35,403.49,A,11360.72,364.9
director of corporate operations,0,MN,MORTGAGE,12.28,130000,23,296496,77944,93600,17500,7.35,349.42,A,16273.9,470.99
dispatcher,3,TX,RENT,28.97,65000,28,156207,70381,50800,8000,7.96,250.55,A,7403.61,151.72
senior consultant,4,OH,MORTGAGE,16.17,124000,19,332387,58767,101700,22000,6.07,669.99,A,20879.76,204.9
counselor,10,VA,MORTGAGE,22.49,43125,18,133272,35518,22800,8000,6.07,243.63,A,7387.42,115.61
sr computer operator,10,VA,RENT,18.01,73000,11,107100,31797,52300,8000,7.35,248.3,A,0,180.61
senior engineer,3,TX,MORTGAGE,7.47,103960,10,157850,16981,20200,3500,6.72,107.63,A,2850.03,86.87
aircraft mechanic,3,NV,MORTGAGE,12.44,95000,7,328319,31973,10800,7000,6.07,213.18,A,6464.25,101.43
"manager, l&d, nicu",3,GA,MORTGAGE,8.12,100000,5,405111,43073,10500,25000,5.32,752.87,A,21761.22,462.77
firefighter,10,WA,MORTGAGE,8.37,86000,4,41350,13172,28700,13000,7.34,403.43,A,11522,221.69
production manager,10,MO,MORTGAGE,2.38,62000,5,172667,5660,13100,8000,6.07,243.63,A,7592.65,77.21
automotive technician,10,NE,RENT,13.99,55000,5,33025,19059,9400,10000,7.97,313.23,A,8749.43,306.72
speech pathologist supervisor,3,SC,MORTGAGE,20.32,86000,17,303755,42222,113900,40000,5.32,1204.6,A,35863.53,670.11
unexploded ordnance technician 2,8,VA,RENT,9.43,132000,6,84700,38172,59700,38400,6.72,1180.78,A,33516.91,992.14
assistant professor,1,MS,MORTGAGE,26.7,87000,11,457555,120128,23900,25000,7.35,775.94,A,22485.76,564
senior field services rep,10,NJ,MORTGAGE,15.18,70566,8,420675,19427,56900,6000,6.08,182.75,A,5230.49,139.17
lab director,6,IL,RENT,14.57,81250,10,80039,22695,43700,15000,6.08,456.88,A,13464.86,287.31
customer service,10,MD,RENT,35.84,50000,9,82609,43574,16900,20000,7.97,626.46,A,18005.74,489.44
staff accountant,2,AR,RENT,17.43,55000,9,46617,35823,16600,10000,6.72,307.5,A,8985.52,213.61
administrator,10,CA,RENT,19.27,94000,10,127976,54567,89000,30000,7.96,939.54,A,27763.61,568.96
nurse,5,CA,RENT,14.78,120000,19,118044,73308,39700,38000,6.71,1168.3,A,35116.49,607.22
patron services,2,AZ,RENT,1.92,35000,2,12800,2103,10300,6500,7.96,203.57,A,6015.44,120.4
scheduler,5,VA,RENT,18.64,75000,10,51461,23448,11200,20000,7.34,620.66,A,18495.86,341.53
sales,1,IL,MORTGAGE,15.35,80000,6,174163,22045,6000,8000,6.71,245.96,A,7392.94,124.86
commercial analyst,0,NJ,RENT,7.88,70020,10,32900,24367,9200,5000,7.34,155.17,A,4623.95,87.42
owner,10,CA,RENT,7.93,90000,9,60644,23517,37000,15000,6.07,456.81,A,13851.4,211.71
hair stylist,10,MI,MORTGAGE,19.32,80000,18,81173,30728,25200,17000,5.32,511.96,A,14797.59,352.37
asst finance director,5,MA,RENT,9.58,84000,7,63972,45806,27000,20000,6.72,614.99,A,17972.12,424.61
operations,0,NH,MORTGAGE,6.26,150000,31,388580,33134,21700,40000,6.07,1218.15,A,37963.23,372.55
hazardous materials compliance officer,2,NC,MORTGAGE,24.47,95000,15,336147,110766,34500,35925,5.32,1081.88,A,32209.93,649.61
inventory control specialist,5,IL,RENT,19.38,33000,8,43876,22920,17600,3200,7.34,99.31,A,2557.44,54.07
bartender,10,MO,RENT,10.91,35000,5,26500,10803,23000,11000,7.35,219.64,A,10385.32,259.39
maintenance,10,NY,RENT,14.58,40000,13,56285,16738,33300,20000,6.07,609.08,A,18468.54,289.04
truck driver,9,IN,MORTGAGE,34.38,75999,16,427674,61999,72500,19200,7.34,595.83,A,17756.03,327.86
armed protection officer,1,MD,OWN,0,70000,3,30400,92,0,2400,6.08,73.1,A,0,9.05
housekeeping,10,GA,MORTGAGE,1.28,32000,3,154909,1208,2600,7000,7.96,219.23,A,6648.04,85.91
engineer,10,AL,MORTGAGE,9.3,146000,9,358028,96231,14000,10000,6.71,307.45,A,9241.17,156.06
route representative,3,NY,RENT,17.4,52000,9,63800,24423,37600,15000,5.32,451.73,A,13448.8,257.94
owner,10,NC,RENT,22.35,70000,22,171805,42877,122600,20000,6.71,614.9,A,18482.35,312.14
drywall taper,0,CA,RENT,4.35,95000,6,17357,6605,7600,4000,6.72,123,A,3594.21,84.72
service technician,10,IL,OWN,8.65,130000,13,261095,26645,39500,40000,6.72,1229.97,A,34913.5,1048.42
senior engineer,10,KS,MORTGAGE,27.53,98000,16,258078,108340,84100,29000,7.35,579.04,A,27379.52,654.24
management,10,DC,MORTGAGE,4.36,152000,6,560826,17408,65300,40000,7.34,798.49,A,38328.35,707.51
attorney,3,VA,RENT,19.13,170000,11,221252,194434,31600,23000,7.35,713.86,A,20099.76,659.67
master inspecter,10,IN,MORTGAGE,16.12,60000,7,195174,32843,25200,10000,7.35,310.38,A,8996.09,233.53
market manager,4,GA,RENT,23.43,60000,13,104387,42622,72400,25000,7.35,775.94,A,21847.54,778.28
deputy director,5,VT,RENT,20.26,46500,9,99970,47796,45000,10000,6.71,307.45,A,1435.8,46.97
partner,10,TX,MORTGAGE,12.14,125000,16,500837,40943,80800,40000,5.32,1204.6,A,35863.53,670.11
president,10,FL,MORTGAGE,33.54,288000,22,1036893,547708,67200,17150,6.72,527.35,A,14969.16,443.1
residential ast,10,CT,MORTGAGE,37.49,45000,21,195191,44537,12800,4900,7.35,152.09,A,4282.09,140.54
vice president client manager,3,CA,MORTGAGE,35.8,89179,10,414424,111351,75100,12000,7.97,375.88,A,10499.3,368.07
construction manager,8,NC,MORTGAGE,4.39,125000,5,332065,45517,39100,16000,6.07,487.26,A,14774.84,225.83
lawyer/partner,10,FL,MORTGAGE,18.89,130000,17,807629,130987,16300,16000,5.32,481.84,A,13927.17,326.91
teacher,7,WV,MORTGAGE,12.94,42000,4,67203,55861,14000,6000,7.34,186.2,A,5700.09,70.04
controller,5,NJ,MORTGAGE,7.73,110000,12,44138,20970,9300,8650,6.72,265.99,A,7549.99,233.97
web design,5,WA,RENT,7.29,67000,8,30884,11458,7800,25000,6.08,761.46,A,21793.71,592.57
systems engineer,4,TN,MORTGAGE,22.49,155000,25,362866,120099,72200,30000,7.97,607.87,A,28349.16,793.92
cfm specialist,4,VA,RENT,12.38,86000,8,52000,34773,29500,3600,7.97,112.77,A,3149.76,110.42
waiter/server,2,CA,RENT,10.42,32357,5,24360,5940,11200,5500,7.96,172.25,A,5089.99,104.31
sr account executive,9,CA,MORTGAGE,11.16,140000,12,464400,51379,96800,36000,6.07,1096.34,A,33243.38,587.03
senior server engineer,4,TX,MORTGAGE,17.99,65000,14,292806,48538,59600,28000,6.08,542.37,A,25977.09,670.02
foreman,10,NY,MORTGAGE,6.78,110000,6,112380,18915,20300,10000,6.72,307.5,A,8985.52,211.79
technology team leader,5,MI,MORTGAGE,15.66,106000,15,70318,30383,18900,11000,7.35,341.42,A,9612.89,315.5
manufacturing quality manager,1,IN,RENT,26.92,145000,25,230608,135640,117700,33250,6.72,1022.42,A,29876.91,629.62
mechanical sustaining engineer,2,MA,RENT,13.89,72000,15,141141,58683,70100,5400,6.08,164.48,A,4847.34,103.44
human resources manager,10,AL,MORTGAGE,11.05,52000,6,214350,15909,5400,12000,7.96,375.82,A,11105.43,227.58
administrative assistant,6,MA,RENT,27.83,44000,9,46299,30693,23100,14400,7.96,450.98,A,13326.53,273.1
police officer,7,NY,OWN,15.26,130000,12,125441,54929,27000,19000,6.71,584.15,A,17558.24,321.32
graphic designer,1,CA,RENT,27.69,40000,17,71992,47552,7800,5000,7.34,155.17,A,4623.94,82.32
cct,2,TX,RENT,19.59,42000,7,77181,34982,21100,10000,5.31,301.11,A,9226.01,126.39
software engineer,2,CA,RENT,17.25,145000,12,96600,38897,26600,12000,5.31,361.33,A,11071.21,151.66
associate vice president,10,NC,MORTGAGE,12.36,205000,18,455099,90716,115000,40000,5.32,1204.6,A,36904.52,494.68
director of operations,2,NV,MORTGAGE,22.98,75000,8,426006,30208,21000,9000,6.72,276.75,A,8086.97,190.61
