invoice_id,date,day_of_week,product_name,units_sold,price_per_unit
534377,2010-11-22,Monday,HAND WARMER SCOTTY DOG DESIGN,1,2.1
534377,2010-11-22,Monday,HAND WARMER RED RETROSPOT,1,2.1
534377,2010-11-22,Monday,HAND WARMER SCOTTY DOG DESIGN,2,2.1
534377,2010-11-22,Monday,HAND WARMER OWL DESIGN,2,2.1
534377,2010-11-22,Monday,PLEASE ONE PERSON METAL SIGN,1,2.1
534499,2010-11-23,Tuesday,HOME BUILDING BLOCK WORD,1,5.95
534499,2010-11-23,Tuesday,HAND WARMER OWL DESIGN,1,2.1
534499,2010-11-23,Tuesday,HAND WARMER RED RETROSPOT,2,2.1
534499,2010-11-23,Tuesday,HAND WARMER SCOTTY DOG DESIGN,2,2.1
534499,2010-11-23,Tuesday,PAPER CHAIN KIT 50'S CHRISTMAS ,2,2.95
534499,2010-11-23,Tuesday,RED 3 PIECE RETROSPOT CUTLERY SET,2,3.75
534499,2010-11-23,Tuesday,CHRISTMAS CRAFT LITTLE FRIENDS,1,2.1
534499,2010-11-23,Tuesday,CHRISTMAS CRAFT TREE TOP ANGEL,2,2.1
534499,2010-11-23,Tuesday,CHRISTMAS CRAFT LITTLE FRIENDS,1,2.1
534499,2010-11-23,Tuesday,RED 3 PIECE RETROSPOT CUTLERY SET,1,3.75
534499,2010-11-23,Tuesday,RIBBON REEL CHRISTMAS SOCK BAUBLE,3,1.65
534563,2010-11-23,Tuesday,3 TIER CAKE TIN RED AND CREAM,2,14.95
534563,2010-11-23,Tuesday,HOME BUILDING BLOCK WORD,1,5.95
534630,2010-11-23,Tuesday,SMALL POPCORN HOLDER,5,0.85
534630,2010-11-23,Tuesday, SET 2 TEA TOWELS I LOVE LONDON ,1,2.95
534630,2010-11-23,Tuesday,RED 3 PIECE RETROSPOT CUTLERY SET,1,3.75
534630,2010-11-23,Tuesday,HOME BUILDING BLOCK WORD,2,5.95
534755,2010-11-24,Wednesday,PLEASE ONE PERSON METAL SIGN,1,4.21
534755,2010-11-24,Wednesday,CHRISTMAS CRAFT LITTLE FRIENDS,2,4.21
534755,2010-11-24,Wednesday,SMALL POPCORN HOLDER,3,1.66
534755,2010-11-24,Wednesday,RECIPE BOX PANTRY YELLOW DESIGN,1,5.91
534779,2010-11-24,Wednesday,HAND WARMER SCOTTY DOG DESIGN,2,2.1
534808,2010-11-24,Wednesday,RECIPE BOX PANTRY YELLOW DESIGN,1,2.95
534808,2010-11-24,Wednesday,RED 3 PIECE RETROSPOT CUTLERY SET,4,3.75
534865,2010-11-24,Wednesday,RIBBON REEL CHRISTMAS SOCK BAUBLE,1,1.65
534865,2010-11-24,Wednesday,CHRISTMAS CRAFT LITTLE FRIENDS,1,2.1
534865,2010-11-24,Wednesday,CHRISTMAS CRAFT TREE TOP ANGEL,1,2.1
534865,2010-11-24,Wednesday,HAND WARMER SCOTTY DOG DESIGN,2,2.1
534865,2010-11-24,Wednesday,HAND WARMER OWL DESIGN,3,2.1
534865,2010-11-24,Wednesday,HAND WARMER RED RETROSPOT,2,2.1
534865,2010-11-24,Wednesday,HAND WARMER BIRD DESIGN,3,2.1
534865,2010-11-24,Wednesday,PAPER CHAIN KIT 50'S CHRISTMAS ,2,2.95
534865,2010-11-24,Wednesday,CHRISTMAS CRAFT TREE TOP ANGEL,1,2.1
534865,2010-11-24,Wednesday,PLEASE ONE PERSON METAL SIGN,2,2.1
534935,2010-11-24,Wednesday,RIBBON REEL CHRISTMAS SOCK BAUBLE,1,1.65
534935,2010-11-24,Wednesday,CHRISTMAS CRAFT TREE TOP ANGEL,1,2.1
534935,2010-11-24,Wednesday,CHRISTMAS CRAFT LITTLE FRIENDS,1,2.1
535066,2010-11-24,Wednesday,HAND WARMER BIRD DESIGN,3,2.1
535066,2010-11-24,Wednesday,SMALL POPCORN HOLDER,2,0.85
535358,2010-11-25,Thursday,HAND WARMER BIRD DESIGN,2,2.1
535425,2010-11-26,Friday,HOME BUILDING BLOCK WORD,1,5.95
535477,2010-11-26,Friday,HAND WARMER OWL DESIGN,1,2.1
535477,2010-11-26,Friday,HAND WARMER BIRD DESIGN,1,2.1
535589,2010-11-26,Friday, SET 2 TEA TOWELS I LOVE LONDON ,1,2.95
535982,2010-11-29,Monday,RECIPE BOX PANTRY YELLOW DESIGN,4,2.95
536072,2010-11-30,Tuesday,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2.95
536072,2010-11-30,Tuesday,HAND WARMER OWL DESIGN,1,2.1
536072,2010-11-30,Tuesday,HAND WARMER RED RETROSPOT,1,2.1
536072,2010-11-30,Tuesday, SET 2 TEA TOWELS I LOVE LONDON ,1,2.95
536072,2010-11-30,Tuesday,PLEASE ONE PERSON METAL SIGN,2,2.1
536072,2010-11-30,Tuesday,PAPER CHAIN KIT 50'S CHRISTMAS ,2,2.95
536072,2010-11-30,Tuesday,HAND WARMER RED RETROSPOT,1,2.1
536190,2010-11-30,Tuesday,HAND WARMER OWL DESIGN,2,2.1
536190,2010-11-30,Tuesday,HAND WARMER BIRD DESIGN,2,2.1
536190,2010-11-30,Tuesday,HAND WARMER RED RETROSPOT,5,2.1
536190,2010-11-30,Tuesday,3 TIER CAKE TIN RED AND CREAM,1,14.95
536190,2010-11-30,Tuesday,CHRISTMAS CRAFT LITTLE FRIENDS,1,2.1
536596,2010-12-01,Wednesday, SET 2 TEA TOWELS I LOVE LONDON ,1,2.95
536640,2010-12-02,Thursday,HAND WARMER RED RETROSPOT,1,2.1
536640,2010-12-02,Thursday,HAND WARMER BIRD DESIGN,1,2.1
536755,2010-12-02,Thursday,HAND WARMER BIRD DESIGN,1,2.1
536755,2010-12-02,Thursday,HAND WARMER OWL DESIGN,1,2.1
536755,2010-12-02,Thursday,3 TIER CAKE TIN RED AND CREAM,1,14.95
536756,2010-12-02,Thursday,SMALL POPCORN HOLDER,3,0.85
536756,2010-12-02,Thursday,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2.95
536864,2010-12-03,Friday,PLEASE ONE PERSON METAL SIGN,1,4.21
536864,2010-12-03,Friday,CHRISTMAS CRAFT LITTLE FRIENDS,1,4.21
536864,2010-12-03,Friday,3 TIER CAKE TIN RED AND CREAM,1,29.79
536989,2010-12-03,Friday,CHRISTMAS CRAFT TREE TOP ANGEL,1,2.1
536993,2010-12-03,Friday,RIBBON REEL CHRISTMAS SOCK BAUBLE,1,1.65
536993,2010-12-03,Friday,HAND WARMER OWL DESIGN,1,2.1
536993,2010-12-03,Friday,HAND WARMER BIRD DESIGN,1,2.1
536993,2010-12-03,Friday,RECIPE BOX PANTRY YELLOW DESIGN,1,2.95
536993,2010-12-03,Friday,HAND WARMER SCOTTY DOG DESIGN,2,2.1
