Age,Gender,NumberOfChildren,CountryOfResidence,LanguageAtHome,HoursSpentLearningToCode,Income,StudentDebtOwe,IsSoftwareDev,MaritalStatus,MoneySpentLearningToCode,MonthsSpentProgramming,YearsSpentLearningToCode,LearningViaBooks,LearningViaCoursera
28,male,NA,United States of America,English,30,32000,20000,False,married or domestic partnership,0,1,0.08333333333,NA,1
22,male,NA,United States of America,English,30,15000,NA,False,NA,20,2,0.1666666667,NA,1
19,male,NA,United States of America,English,20,48000,NA,False,NA,50,24,2,NA,NA
26,female,NA,United States of America,English,20,43000,7000,False,NA,100,3,0.25,NA,NA
20,female,NA,United States of America,Khmer,25,6000,NA,False,NA,1300,48,4,NA,NA
34,male,NA,United States of America,English,5,40000,NA,False,NA,0,12,1,NA,NA
23,male,NA,Singapore,Mandarin Chinese,8,32000,NA,True,NA,400,13,1.083333333,NA,1
35,male,NA,United Kingdom,Telugu,NA,40000,NA,False,married or domestic partnership,0,NA,#VALUE!,NA,NA
33,male,NA,United States of America,English,5,80000,NA,True,NA,3000,24,2,NA,1
33,male,NA,United States of America,English,20,80000,180000,False,NA,30,12,1,NA,NA
57,male,NA,United States of America,English,8,20000,NA,False,married or domestic partnership,400,360,30,NA,NA
23,male,NA,Bangladesh,Bengali,5,NA,NA,False,NA,0,12,1,NA,NA
47,male,NA,Canada,English,5,90000,NA,False,NA,500,36,3,NA,1
NA,male,NA,United States of America,English,5,NA,12000,False,NA,300,12,1,NA,NA
31,female,NA,Russia,Russian,10,NA,NA,True,NA,NA,108,9,NA,1
27,female,NA,United States of America,English,4,80000,NA,True,NA,600,36,3,NA,1
29,male,NA,United States of America,English,5,17000,NA,False,NA,0,6,0.5,NA,NA
30,male,NA,Canada,English,2,16000,NA,True,NA,0,36,3,NA,NA
30,male,NA,Croatia,Serbo-Croatian,20,NA,NA,False,"single, never married",2000,24,2,NA,NA
25,female,NA,United States of America,Hindi,NA,NA,NA,True,NA,NA,NA,#VALUE!,NA,1
29,female,NA,United States of America,English,10,100000,NA,True,"single, never married",0,90,7.5,NA,NA
44,female,NA,United States of America,English,30,41000,50000,False,married or domestic partnership,75,2,0.1666666667,NA,NA
21,male,NA,India,Hindi,25,NA,NA,False,NA,0,10,0.8333333333,NA,NA
21,male,NA,United States of America,English,25,NA,40000,False,NA,0,20,1.666666667,NA,NA
28,male,NA,South Africa,English,1,12000,NA,False,"single, never married",100,12,1,NA,NA
25,male,NA,United States of America,English,10,75000,NA,False,NA,100,6,0.5,NA,NA
24,female,NA,United States of America,English,NA,NA,NA,False,NA,0,20,1.666666667,NA,NA
23,male,NA,Venezuela,Spanish,20,NA,NA,False,NA,0,3,0.25,NA,NA
34,male,NA,United States of America,Spanish,20,NA,NA,False,NA,100,24,2,NA,1
18,female,NA,United States of America,English,10,6000,NA,False,NA,50,8,0.6666666667,NA,NA
33,female,NA,United States of America,English,15,40000,44000,False,NA,20,2,0.1666666667,NA,NA
28,male,NA,Brazil,Portuguese,7,6500,NA,False,NA,0,2,0.1666666667,NA,NA
33,male,NA,United States of America,English,20,60000,NA,False,married or domestic partnership,1000,70,5.833333333,NA,NA
26,male,NA,United States of America,English,3,29000,NA,False,NA,250,8,0.6666666667,NA,1
24,male,NA,South Africa,English,10,10000,NA,True,NA,2000,24,2,NA,NA
39,male,NA,United States of America,English,25,53000,70000,False,NA,150,6,0.5,NA,NA
24,male,NA,Brazil,Portuguese,10,NA,NA,False,NA,130,18,1.5,NA,1
34,male,NA,United States of America,English,20,NA,NA,False,NA,0,2,0.1666666667,NA,NA
19,male,NA,United States of America,English,2,NA,NA,False,NA,30,48,4,NA,NA
28,male,NA,United States of America,English,15,52000,NA,False,NA,200,18,1.5,NA,NA
24,male,NA,Canada,Russian,NA,NA,NA,False,NA,NA,3,0.25,NA,NA
22,male,NA,Venezuela,Spanish,10,NA,NA,False,NA,500,12,1,NA,1
20,female,NA,India,Hindi,10,NA,NA,False,NA,0,6,0.5,NA,NA
20,male,NA,United States of America,Spanish,20,24000,NA,False,NA,100,6,0.5,NA,NA
19,male,NA,Bangladesh,Bengali,56,NA,NA,False,NA,0,1,0.08333333333,NA,NA
25,male,NA,Portugal,Portuguese,12,12000,NA,True,NA,NA,96,8,NA,NA
20,male,NA,Singapore,Hindi,5,NA,20000,False,NA,NA,4,0.3333333333,NA,NA
43,male,NA,United States of America,English,4,NA,NA,False,NA,0,240,20,NA,1
35,female,NA,United States of America,English,35,NA,5000,False,"single, never married",50,100,8.333333333,NA,NA
30,male,NA,United States of America,English,40,NA,NA,False,NA,3000,8,0.6666666667,NA,NA
25,female,NA,NA,English,15,64000,NA,False,NA,400,16,1.333333333,NA,1
24,male,NA,Macedonia,English,10,NA,NA,False,NA,250,1,0.08333333333,NA,NA
30,male,NA,United States of America,English,15,24000,19000,False,NA,300,9,0.75,NA,NA
34,female,NA,United States of America,English,2,62500,75000,False,NA,250,3,0.25,NA,NA
40,male,NA,Sweden,Swedish,5,27000,3000,True,married or domestic partnership,0,36,3,NA,NA
30,female,NA,United States of America,English,5,NA,110000,False,NA,0,48,4,NA,1
47,female,NA,United States of America,English,20,30000,NA,True,NA,800,36,3,NA,1
